Language,Created by [CREATED_BY],Ingredient name [INGREDIENT_NAME],Category [CATEGORY],Supplier [SUPPLIER],Allergen [ALLERGEN],Allowed unit [ALLOWED_UNIT],Dietary applicability [DIETARY_APPLICABILITY],Effective start date [EFFECTIVE_START_DATE],Effective end date [EFFECTIVE_END_DATE],Status [STATUS],Last changed by [LAST_CHANGED_BY],Record ID,Data Version,Created At,Updated At,Status,PDF URL
EN,System Administrator,Aubergine,Fresh vegetables,"Freshmed, Mabru, VDS",None,"kg, gr, bucket","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,7e424906-2d1c-430a-ad97-cf5fe590eed8,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Basil - dried,Herbs - spices - condiments,"Freshmed, VDS",None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,826b5ea3-5331-4315-a44b-6436961ed27a,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Basil - fresh,Herbs - spices - condiments,"Freshmed, Mabru, VDS",None,"kg, gr","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,36f01c1a-43b6-4e58-a153-ea382c3b3d50,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Basmati rice,Dry carbohydrates,"Freshmed, Solucious, VDS",None,"kg, gr","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,65a86a41-5cb8-49f5-84af-29df3b8d34ee,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Bay leaf,Herbs - spices - condiments,"Freshmed, VDS",None,leaf,"Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,d097ea46-1a10-4004-8e46-a53d8f0a93a5,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Black pepper,Herbs - spices - condiments,Freshmed,None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,3d8f30d6-68fb-4601-bddf-9b869ef4673e,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Bouillon powder,Herbs - spices - condiments,"Solucious, VDS",Soy,"gr, Tbsp","Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,5f8a8a62-49c8-419a-b2a0-55424ca9ce95,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Broccoli,Fresh vegetables,"Freshmed, Mabru, VDS",None,"kg, gr, bucket","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,8c193958-b1d1-46c6-8a04-b8a5754e7fc7,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Broccoli - frozen,Frozen vegetables,VDS,None,"kg, gr, bag","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,d12c5feb-73f9-46c5-a20d-d1b17e9823ac,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Broccoli mix - frozen,Frozen vegetables,VDS,None,"kg, gr, bag","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,e6ad75fc-1361-4fb0-8fad-281d19b86ac7,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Brown rice,Dry carbohydrates,"Freshmed, Solucious, VDS",None,"kg, gr","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,72c8f780-0cc4-4513-ac88-dd1ab97dc29c,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Bulgur,Dry carbohydrates,Freshmed,Gluten,"kg, gr","Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,b87c0d6d-1d99-4360-83f1-01162a04ecf8,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Butternut,Fresh vegetables,"Freshmed, Mabru, VDS",None,"kg, gr, bucket","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,42253edc-0b24-47d3-bd27-43ab0d5c0caa,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Carrot,Fresh vegetables,"Freshmed, Mabru, VDS",None,"kg, gr, bucket","Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,12cb56b3-9d78-417b-b75a-680a030ce918,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Carrot - frozen,Frozen vegetables,VDS,None,"kg, gr, bag","Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,52d477d4-2b87-4cd1-9725-73dd15ae9db2,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Carrots & peas - tinned,Tins/Pots,Red Cross,None,"kg, gr, tin-530gr","Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,9a5cedd7-c341-41fa-907a-b129913adfe8,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Cauliflower,Fresh vegetables,"Freshmed, Mabru, VDS",None,"kg, gr, bucket","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,49b48c17-5c8e-4df6-b468-42612e333946,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Cauliflower - frozen,Frozen vegetables,VDS,None,"kg, gr, bag","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,506870b1-6475-40ff-9612-fcd0b24e4092,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Cayenne,Herbs - spices - condiments,Freshmed,None,"gr, Tbsp","Diabetic, Vegan, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,053abba1-d993-4978-a3d9-e5dca0133a3b,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
EN,System Administrator,Cheese,Dairy,"VDS, Solucious",Milk,"kg, gr","Diabetic, Vegetarian, Standard, No-salt",2026-02-07,9999-12-31,Active,System Administrator,fe40967e-faa7-45c6-b192-1cd91b516b63,1,2026-02-07T16:42:43.981Z,2026-02-07T16:42:43.981Z,Active,
