id,application_area,web_surface,meal_production_step,form_key,source_type,source_file,source_path,context,message_key,message_en,message_fr,message_nl,notes,duplicate_group,duplicate_count
UFM-0001,all,form view,,,system string,src/web/systemStrings.json,$.autosaveNotice.confirm,System UI string autosaveNotice.confirm,autosaveNotice.confirm,OK,,,,D008,35
UFM-0002,all,form view,,,system string,src/web/systemStrings.json,$.autosaveNotice.message,System UI string autosaveNotice.message,autosaveNotice.message,"Changes are saved automatically. In some cases, you may need to tap Save or keep the screen open until saving is complete.",,,,,
UFM-0003,all,form view,,,system string,src/web/systemStrings.json,$.dateInput.correctedToMax,System UI string dateInput.correctedToMax,dateInput.correctedToMax,This date is no longer allowed. We set the latest allowed date for you.,,,,,
UFM-0004,all,form view,,,system string,src/web/systemStrings.json,$.dateInput.correctedToMin,System UI string dateInput.correctedToMin,dateInput.correctedToMin,This date is no longer allowed. We set the earliest allowed date for you.,,,,,
UFM-0005,all,form view,,,system string,src/web/systemStrings.json,$.draft.pausedShort,System UI string draft.pausedShort,draft.pausedShort,Autosave paused,,,,D006,2
UFM-0006,all,form view,,,system string,src/web/systemStrings.json,$.draft.savedShort,System UI string draft.savedShort,draft.savedShort,Saved,,,,D005,2
UFM-0007,all,form view,,,system string,src/web/systemStrings.json,$.draft.saveFailedShort,System UI string draft.saveFailedShort,draft.saveFailedShort,Save failed,,,,D007,2
UFM-0008,all,form view,,,system string,src/web/systemStrings.json,$.draft.savingShort,System UI string draft.savingShort,draft.savingShort,Saving…,,,,D004,3
UFM-0009,all,form view,,,system string,src/web/systemStrings.json,$.fieldChangeDialog.message,System UI string fieldChangeDialog.message,fieldChangeDialog.message,Review this change before continuing.,,,,,
UFM-0010,all,form view,,,system string,src/web/systemStrings.json,$.fieldChangeDialog.title,System UI string fieldChangeDialog.title,fieldChangeDialog.title,Confirm change,,,,,
UFM-0011,all,form view,,,system string,src/web/systemStrings.json,$.files.add,System UI string files.add,files.add,Add photo,,,,,
UFM-0012,all,form view,,,system string,src/web/systemStrings.json,$.files.clearAll,System UI string files.clearAll,files.clearAll,Remove all,,,,,
UFM-0013,all,form view,,,system string,src/web/systemStrings.json,$.files.clearAllConfirm,System UI string files.clearAllConfirm,files.clearAllConfirm,Remove all photos?,,,,,
UFM-0014,all,form view,,,system string,src/web/systemStrings.json,$.files.discardChangesConfirm,System UI string files.discardChangesConfirm,files.discardChangesConfirm,The photos you changed are not saved yet. Close without saving them?,,,,,
UFM-0015,all,form view,,,system string,src/web/systemStrings.json,$.files.emptyHint,System UI string files.emptyHint,files.emptyHint,No photo added.,,,,D040,2
UFM-0016,all,form view,,,system string,src/web/systemStrings.json,$.files.error.fileType,System UI string files.error.fileType,files.error.fileType,{name} is not an allowed photo type. Allowed file types: {allowedTypes}.,,,,D045,2
UFM-0017,all,form view,,,system string,src/web/systemStrings.json,$.files.error.maxFiles,System UI string files.error.maxFiles,files.error.maxFiles,Maximum of {max} photo{plural} allowed.,,,,,
UFM-0018,all,form view,,,system string,src/web/systemStrings.json,$.files.error.maxFileSizeMb,System UI string files.error.maxFileSizeMb,files.error.maxFileSizeMb,{name} exceeds {mb} MB.,,,,D044,2
UFM-0019,all,form view,,,system string,src/web/systemStrings.json,$.files.error.minFiles,System UI string files.error.minFiles,files.error.minFiles,{field} requires at least {min} photo{plural}.,,,,,
UFM-0020,all,form view,,,system string,src/web/systemStrings.json,$.files.error.saveFailed,System UI string files.error.saveFailed,files.error.saveFailed,The photos were not saved. Check the connection and try again.,,,,,
UFM-0021,all,form view,,,system string,src/web/systemStrings.json,$.files.error.uploadFailed,System UI string files.error.uploadFailed,files.error.uploadFailed,Could not add photos.,,,,,
UFM-0022,all,form view,,,system string,src/web/systemStrings.json,$.files.fileN,System UI string files.fileN,files.fileN,Photo {n},,,,,
UFM-0023,all,form view,,,system string,src/web/systemStrings.json,$.files.maxFilesMany,System UI string files.maxFilesMany,files.maxFilesMany,{count} photos max,,,,,
UFM-0024,all,form view,,,system string,src/web/systemStrings.json,$.files.maxFilesOne,System UI string files.maxFilesOne,files.maxFilesOne,1 photo max,,,,,
UFM-0025,all,form view,,,system string,src/web/systemStrings.json,$.files.maxReached,System UI string files.maxReached,files.maxReached,Required photos added.,,,,D041,2
UFM-0026,all,form view,,,system string,src/web/systemStrings.json,$.files.maxSelected,System UI string files.maxSelected,files.maxSelected,Required photos added.,,,,D041,2
UFM-0027,all,form view,,,system string,src/web/systemStrings.json,$.files.maxSizeEach,System UI string files.maxSizeEach,files.maxSizeEach,≤ {mb} MB each,,,,,
UFM-0028,all,form view,,,system string,src/web/systemStrings.json,$.files.minFilesMany,System UI string files.minFilesMany,files.minFilesMany,{count} photos required,,,,,
UFM-0029,all,form view,,,system string,src/web/systemStrings.json,$.files.minFilesOne,System UI string files.minFilesOne,files.minFilesOne,1 photo required,,,,,
UFM-0030,all,form view,,,system string,src/web/systemStrings.json,$.files.noneSelected,System UI string files.noneSelected,files.noneSelected,No photo added.,,,,D040,2
UFM-0031,all,form view,,,system string,src/web/systemStrings.json,$.files.open,System UI string files.open,files.open,Open,,,,D024,2
UFM-0032,all,form view,,,system string,src/web/systemStrings.json,$.files.remainingMany,System UI string files.remainingMany,files.remainingMany,You can add {count} more photos.,,,,,
UFM-0033,all,form view,,,system string,src/web/systemStrings.json,$.files.remainingOne,System UI string files.remainingOne,files.remainingOne,You can add 1 more photo.,,,,,
UFM-0034,all,form view,,,system string,src/web/systemStrings.json,$.files.retrySave,System UI string files.retrySave,files.retrySave,Try saving photos again,,,,,
UFM-0035,all,form view,,,system string,src/web/systemStrings.json,$.files.selectedMany,System UI string files.selectedMany,files.selectedMany,{count} photos added,,,,,
UFM-0036,all,form view,,,system string,src/web/systemStrings.json,$.files.selectedOne,System UI string files.selectedOne,files.selectedOne,1 photo added,,,,,
UFM-0037,all,form view,,,system string,src/web/systemStrings.json,$.files.title,System UI string files.title,files.title,Photos,,,,,
UFM-0038,all,form view,,,system string,src/web/systemStrings.json,$.files.uploaded,System UI string files.uploaded,files.uploaded,Added,,,,,
UFM-0039,all,form view,,,system string,src/web/systemStrings.json,$.files.view,System UI string files.view,files.view,View photos,,,,,
UFM-0040,all,form view,,,system string,src/web/systemStrings.json,$.files.waitRemoveSelected,System UI string files.waitRemoveSelected,files.waitRemoveSelected,Please wait while we remove selected file(s),,,,,
UFM-0041,all,form view,,,system string,src/web/systemStrings.json,$.files.waitSave,System UI string files.waitSave,files.waitSave,Please wait while we save your file(s),,,,,
UFM-0042,all,form view,,,system string,src/web/systemStrings.json,$.files.warning.maxFilesPartial,System UI string files.warning.maxFilesPartial,files.warning.maxFilesPartial,Only {accepted} of {attempted} selected photos were added. Maximum: {max}.,,,,D042,2
UFM-0043,all,form view,,,system string,src/web/systemStrings.json,$.files.warning.someRejected,System UI string files.warning.someRejected,files.warning.someRejected,{accepted} photo{plural} added. Some selected files were not added: {reason},,,,D043,2
UFM-0044,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.addLine,System UI string lineItems.addLine,lineItems.addLine,Add line,,,,D019,2
UFM-0045,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.addLines,System UI string lineItems.addLines,lineItems.addLines,Add lines,,,,,
UFM-0046,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.addSelected,System UI string lineItems.addSelected,lineItems.addSelected,Add selected,,,,,
UFM-0047,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.collapse,System UI string lineItems.collapse,lineItems.collapse,Collapse,,,,,
UFM-0048,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.completeRequiredToExpand,System UI string lineItems.completeRequiredToExpand,lineItems.completeRequiredToExpand,Complete required fields to expand: {fields},,,,,
UFM-0049,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.duplicateAdd,System UI string lineItems.duplicateAdd,lineItems.duplicateAdd,"{value} is already in the list, change the quantity",,,,,
UFM-0050,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.expand,System UI string lineItems.expand,lineItems.expand,Expand,,,,,
UFM-0051,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.locked,System UI string lineItems.locked,lineItems.locked,Locked,,,,D016,3
UFM-0052,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.lockedUntilComplete,System UI string lineItems.lockedUntilComplete,lineItems.lockedUntilComplete,Locked until complete · Fill the collapsed fields to unlock expand.,,,,,
UFM-0053,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.needsAttention,System UI string lineItems.needsAttention,lineItems.needsAttention,Needs attention,,,,D018,3
UFM-0054,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.noOptionsAvailable,System UI string lineItems.noOptionsAvailable,lineItems.noOptionsAvailable,No options available.,,,,,
UFM-0055,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.remove,System UI string lineItems.remove,lineItems.remove,Remove,,,,,
UFM-0056,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.removeRowsMessage,System UI string lineItems.removeRowsMessage,lineItems.removeRowsMessage,This will remove the matching rows.,,,,,
UFM-0057,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.removeRowsTitle,System UI string lineItems.removeRowsTitle,lineItems.removeRowsTitle,Remove rows?,,,,,
UFM-0058,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.row,System UI string lineItems.row,lineItems.row,Row,,,,D017,2
UFM-0059,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.selectLinesHelp,System UI string lineItems.selectLinesHelp,lineItems.selectLinesHelp,Search and select one or more items. You can update quantities after you return.,,,,,
UFM-0060,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.selectLinesSearch,System UI string lineItems.selectLinesSearch,lineItems.selectLinesSearch,Search items,,,,,
UFM-0061,all,form view,,,system string,src/web/systemStrings.json,$.lineItems.selectLinesTitle,System UI string lineItems.selectLinesTitle,lineItems.selectLinesTitle,Select lines,,,,,
UFM-0062,all,form view,,,system string,src/web/systemStrings.json,$.overlay.detail.editModeUnsupported,System UI string overlay.detail.editModeUnsupported,overlay.detail.editModeUnsupported,Edit mode is not supported.,,,,,
UFM-0063,all,form view,,,system string,src/web/systemStrings.json,$.overlay.detail.empty,System UI string overlay.detail.empty,overlay.detail.empty,No preview available.,,,,,
UFM-0064,all,form view,,,system string,src/web/systemStrings.json,$.overlay.detail.loading,System UI string overlay.detail.loading,overlay.detail.loading,Loading…,,,,D028,3
UFM-0065,all,form view,,,system string,src/web/systemStrings.json,$.overlay.detail.pathUnsupported,System UI string overlay.detail.pathUnsupported,overlay.detail.pathUnsupported,Nested paths beyond one level are not supported yet.,,,,,
UFM-0066,all,form view,,,system string,src/web/systemStrings.json,$.overlay.detail.selected,System UI string overlay.detail.selected,overlay.detail.selected,Selected,,,,,
UFM-0067,all,form view,,,system string,src/web/systemStrings.json,$.overlay.detail.selectedRow,System UI string overlay.detail.selectedRow,overlay.detail.selectedRow,Selected row,,,,,
UFM-0068,all,form view,,,system string,src/web/systemStrings.json,$.overlay.detail.selectRow,System UI string overlay.detail.selectRow,overlay.detail.selectRow,Select a row to view details.,,,,,
UFM-0069,all,form view,,,system string,src/web/systemStrings.json,$.overlay.detail.subgroupMissing,System UI string overlay.detail.subgroupMissing,overlay.detail.subgroupMissing,Subgroup configuration not found.,,,,,
UFM-0070,all,form view,,,system string,src/web/systemStrings.json,$.overlay.detail.templateBundleRequired,System UI string overlay.detail.templateBundleRequired,overlay.detail.templateBundleRequired,Template must be a bundled (bundle:...) HTML template.,,,,,
UFM-0071,all,form view,,,system string,src/web/systemStrings.json,$.overlay.detail.templateFailed,System UI string overlay.detail.templateFailed,overlay.detail.templateFailed,Unable to render template.,,,,,
UFM-0072,all,form view,,,system string,src/web/systemStrings.json,$.overlay.detail.templateMissing,System UI string overlay.detail.templateMissing,overlay.detail.templateMissing,Template not configured.,,,,,
UFM-0073,all,form view,,,system string,src/web/systemStrings.json,$.overlay.detail.viewModeUnsupported,System UI string overlay.detail.viewModeUnsupported,overlay.detail.viewModeUnsupported,View mode is not supported.,,,,,
UFM-0074,all,form view,,,system string,src/web/systemStrings.json,$.overlay.itemsMany,System UI string overlay.itemsMany,overlay.itemsMany,Items,,,,,
UFM-0075,all,form view,,,system string,src/web/systemStrings.json,$.overlay.itemsOne,System UI string overlay.itemsOne,overlay.itemsOne,Item,,,,,
UFM-0076,all,form view,,,system string,src/web/systemStrings.json,$.overlay.row,System UI string overlay.row,overlay.row,Row,,,,D017,2
UFM-0077,all,form view,,,system string,src/web/systemStrings.json,$.submit.cancel,System UI string submit.cancel,submit.cancel,Cancel,,,,D015,7
UFM-0078,all,form view,,,system string,src/web/systemStrings.json,$.submit.confirm,System UI string submit.confirm,submit.confirm,Submit,,,,D014,2
UFM-0079,all,form view,,,system string,src/web/systemStrings.json,$.submit.confirmMessage,System UI string submit.confirmMessage,submit.confirmMessage,Are you ready to submit this record?,,,,,
UFM-0080,all,form view,,,system string,src/web/systemStrings.json,$.submit.confirmTitle,System UI string submit.confirmTitle,submit.confirmTitle,Confirm submission,,,,,
UFM-0081,all,form view,,,system string,src/web/systemStrings.json,$.submit.previousActionRetry,System UI string submit.previousActionRetry,submit.previousActionRetry,Something went wrong while finishing the previous action. Please click {action} again.,,,,,
UFM-0082,all,form view,,,system string,src/web/systemStrings.json,$.submit.waitPreviousAction,System UI string submit.waitPreviousAction,submit.waitPreviousAction,Please wait while we finish the previous action...,,,,,
UFM-0083,all,form view,,,system string,src/web/systemStrings.json,$.validation.atLeastOneLineItemRequired,System UI string validation.atLeastOneLineItemRequired,validation.atLeastOneLineItemRequired,At least one line item is required.,,,,,
UFM-0084,all,form view,,,system string,src/web/systemStrings.json,$.validation.completeAtLeastOneRowFillCollapsed,System UI string validation.completeAtLeastOneRowFillCollapsed,validation.completeAtLeastOneRowFillCollapsed,Complete at least one row (fill the collapsed fields).,,,,,
UFM-0085,all,form view,,,system string,src/web/systemStrings.json,$.validation.completeAtLeastOneValidRow,System UI string validation.completeAtLeastOneValidRow,validation.completeAtLeastOneValidRow,Complete at least one valid row.,,,,,
UFM-0086,all,form view,,,system string,src/web/systemStrings.json,$.validation.fieldRequired,System UI string validation.fieldRequired,validation.fieldRequired,{field} is required.,,,,,
UFM-0087,all,form view,,,system string,src/web/systemStrings.json,$.validation.fixErrors,System UI string validation.fixErrors,validation.fixErrors,You are almost done. Some required checks are missing. Review the highlighted sections.,,,,D048,2
UFM-0088,all,form view,,,system string,src/web/systemStrings.json,$.validation.numberOnly,System UI string validation.numberOnly,validation.numberOnly,Only numbers are allowed in this field.,,,,,
UFM-0089,all,form view,,,system string,src/web/systemStrings.json,$.validation.optionFilterMismatch,System UI string validation.optionFilterMismatch,validation.optionFilterMismatch,Does not satisfy: {keys},,,,,
UFM-0090,all,form view,,,system string,src/web/systemStrings.json,$.validation.thisFieldRequired,System UI string validation.thisFieldRequired,validation.thisFieldRequired,This field is required.,,,,,
UFM-0091,all,form view,,,system string,src/web/systemStrings.json,$.validation.warningsTitle,System UI string validation.warningsTitle,validation.warningsTitle,Warnings,,,,,
UFM-0092,all,form view,,,web app code,src/web/react/app/submission.ts,line 311,object property fallback,src/web/react/app/submission.ts:311:17,{field} allows at most {max} file{plural}.,,,Extracted from web app UI code; review if this surface is still active.,,
UFM-0093,all,form view,,,web app code,src/web/react/components/app/ValidationHeaderNotice.tsx,line 22,missing system-string fallback,src/web/react/components/app/ValidationHeaderNotice.tsx:22:54,Hide,,,Extracted from web app UI code; review if this surface is still active.,D031,2
UFM-0094,all,form view,,,web app code,src/web/react/components/form/GroupCard.tsx,line 56,nested property aria-label,src/web/react/components/form/GroupCard.tsx:56:23,{expr1} section {expr2},,,Extracted from web app UI code; review if this surface is still active.,D198,2
UFM-0095,all,form view,,,web app code,src/web/react/components/form/LineItemMultiAddSelect.tsx,line 253,missing system-string fallback,src/web/react/components/form/LineItemMultiAddSelect.tsx:253:68,Clear search text,,,Extracted from web app UI code; review if this surface is still active.,D193,2
UFM-0096,all,form view,,,web app code,src/web/react/components/form/SearchableMultiSelect.tsx,line 185,JSX aria-label,src/web/react/components/form/SearchableMultiSelect.tsx:185:22,Clear,,,Extracted from web app UI code; review if this surface is still active.,D033,3
UFM-0097,all,form view,,,web app code,src/web/react/components/form/SearchableMultiSelect.tsx,line 213,nested property aria-label,src/web/react/components/form/SearchableMultiSelect.tsx:213:36,Options,,,Extracted from web app UI code; review if this surface is still active.,D199,4
UFM-0098,all,form view,,,web app code,src/web/react/components/form/SearchableSelect.tsx,line 204,JSX aria-label,src/web/react/components/form/SearchableSelect.tsx:204:22,Clear,,,Extracted from web app UI code; review if this surface is still active.,D033,3
UFM-0099,all,form view,,,web app code,src/web/react/components/form/SearchableSelect.tsx,line 234,JSX aria-label,src/web/react/components/form/SearchableSelect.tsx:234:22,Options,,,Extracted from web app UI code; review if this surface is still active.,D199,4
UFM-0100,all,form view,,,web app code,src/web/react/components/FormView.tsx,line 2722,missing system-string fallback,src/web/react/components/FormView.tsx:2722:115,Confirm,,,Extracted from web app UI code; review if this surface is still active.,D183,14
UFM-0101,all,form view,,,web app code,src/web/react/components/FormView.tsx,line 2726,missing system-string fallback,src/web/react/components/FormView.tsx:2726:116,OK,,,Extracted from web app UI code; review if this surface is still active.,D008,35
UFM-0102,all,form view,,,web app code,src/web/react/components/FormView.tsx,line 3609,missing system-string fallback,src/web/react/components/FormView.tsx:3609:115,Confirm,,,Extracted from web app UI code; review if this surface is still active.,D183,14
UFM-0103,all,form view,,,web app code,src/web/react/components/FormView.tsx,line 3613,missing system-string fallback,src/web/react/components/FormView.tsx:3613:116,OK,,,Extracted from web app UI code; review if this surface is still active.,D008,35
UFM-0104,all,form view,,,web app code,src/web/react/components/FormView.tsx,line 3885,missing system-string fallback,src/web/react/components/FormView.tsx:3885:104,Back,,,Extracted from web app UI code; review if this surface is still active.,D023,12
UFM-0105,all,form view,,,web app code,src/web/react/features/fieldChangeDialog/FieldChangeDialogOverlay.tsx,line 254,nested property aria-label,src/web/react/features/fieldChangeDialog/FieldChangeDialogOverlay.tsx:254:45,Confirmation dialog,,,Extracted from web app UI code; review if this surface is still active.,D201,2
UFM-0106,all,form view,,,web app code,src/web/react/features/fieldChangeDialog/FieldChangeDialogOverlay.tsx,line 295,JSX text,src/web/react/features/fieldChangeDialog/FieldChangeDialogOverlay.tsx:295:58,Required,,,Extracted from web app UI code; review if this surface is still active.,,
UFM-0107,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemBodyFieldRenderer.tsx,line 561,missing system-string fallback,src/web/react/features/lineItems/components/LineItemBodyFieldRenderer.tsx:561:67,Yes,,,Extracted from web app UI code; review if this surface is still active.,D029,17
UFM-0108,all,form view,,,web app code,src/web/react/features/lineItems/components/LineItemBodyFieldRenderer.tsx,line 562,missing system-string fallback,src/web/react/features/lineItems/components/LineItemBodyFieldRenderer.tsx:562:66,No,,,Extracted from web app UI code; review if this surface is still active.,D030,16
